19.04.2015                                                                                  Dynamic List Display                                                                                          1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  OLTPSOURCE                    |LOGSYS    |OBJVERS|ISOURCE                      |TRANSTRU                  |ISOSTYPE|ISTYPE|TSTPNM  |           TIMESTMP|CONTREL|       CONTTIMESTMP|ISSRCTYPE|INVISIBLE|
|  0AUD_OBJTY_TEXT               |P2SCLNT023|D      |0AUDOBJT                     |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,105,458 |         |         |
|  0AUD_OBJTY_TEXT               |P2WCLNT023|D      |0AUDOBJT                     |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,105,458 |         |         |
|  0AUD_OBJVA_TEXT               |P20CLNT023|D      |0AUD_VALT                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,105,828 |         |         |
|  0AUD_OBJVA_TEXT               |P2CCLNT023|D      |0AUD_VALT                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,105,828 |         |         |
|  0AUD_OBJVA_TEXT               |P2SCLNT023|D      |0AUD_VALT                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,105,828 |         |         |
|  0AUD_OBJVA_TEXT               |P2WCLNT023|D      |0AUD_VALT                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,105,828 |         |         |
|  0AUD_PLAN_ATTR                |P20CLNT023|D      |0AUD_PLAN                    |X                         |O       |M     |        |                 0 |7.0/02 |20,041,215,100,853 |         |         |
|  0AUD_PLAN_ATTR                |P2CCLNT023|D      |0AUD_PLAN                    |X                         |O       |M     |        |                 0 |7.0/02 |20,041,215,100,853 |         |         |
|  0AUD_PLAN_ATTR                |P2SCLNT023|D      |0AUD_PLAN                    |X                         |O       |M     |        |                 0 |7.0/02 |20,041,215,100,853 |         |         |
|  0AUD_PLAN_ATTR                |P2WCLNT023|D      |0AUD_PLAN                    |X                         |O       |M     |        |                 0 |7.0/02 |20,041,215,100,853 |         |         |
|  0AUD_PLAN_TEXT                |P20CLNT023|D      |0AUD_PLAN                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,101,055 |         |         |
|  0AUD_PLAN_TEXT                |P2CCLNT023|D      |0AUD_PLAN                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,101,055 |         |         |
|  0AUD_PLAN_TEXT                |P2SCLNT023|D      |0AUD_PLAN                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,101,055 |         |         |
|  0AUD_PLAN_TEXT                |P2WCLNT023|D      |0AUD_PLAN                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,101,055 |         |         |
|  0AUD_PRIOR_TEXT               |P20CLNT023|D      |0AUD_PRIO                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,120,742 |         |         |
|  0AUD_PRIOR_TEXT               |P2CCLNT023|D      |0AUD_PRIO                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,120,742 |         |         |
|  0AUD_PRIOR_TEXT               |P2SCLNT023|D      |0AUD_PRIO                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,120,742 |         |         |
|  0AUD_PRIOR_TEXT               |P2WCLNT023|D      |0AUD_PRIO                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,120,742 |         |         |
|  0AUD_QUEST                    |P20CLNT023|D      |0AUD_QUE                     |X                         |I       |D     |        |                 0 |7.0/02 |20,050,215,152,253 |         |         |
|  0AUD_QUEST                    |P2CCLNT023|D      |0AUD_QUE                     |X                         |I       |D     |        |                 0 |7.0/02 |20,050,215,152,253 |         |         |
|  0AUD_QUEST                    |P2SCLNT023|D      |0AUD_QUE                     |X                         |I       |D     |        |                 0 |7.0/02 |20,050,215,152,253 |         |         |
|  0AUD_QUEST                    |P2WCLNT023|D      |0AUD_QUE                     |X                         |I       |D     |        |                 0 |7.0/02 |20,050,215,152,253 |         |         |
|  0AUD_QUESTION_TEXT            |P20CLNT023|D      |0AUDQUEST                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,090,937 |         |         |
|  0AUD_QUESTION_TEXT            |P2CCLNT023|D      |0AUDQUEST                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,090,937 |         |         |
|  0AUD_QUESTION_TEXT            |P2SCLNT023|D      |0AUDQUEST                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,090,937 |         |         |
|  0AUD_QUESTION_TEXT            |P2WCLNT023|D      |0AUDQUEST                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,090,937 |         |         |
|  0AUD_QUEST_ATTR               |P20CLNT023|D      |0AUDQUEST                    |X                         |O       |M     |        |                 0 |7.0/02 |20,050,215,151,708 |         |         |
|  0AUD_QUEST_ATTR               |P2CCLNT023|D      |0AUDQUEST                    |X                         |O       |M     |        |                 0 |7.0/02 |20,050,215,151,708 |         |         |
|  0AUD_QUEST_ATTR               |P2SCLNT023|D      |0AUDQUEST                    |X                         |O       |M     |        |                 0 |7.0/02 |20,050,215,151,708 |         |         |
|  0AUD_QUEST_ATTR               |P2WCLNT023|D      |0AUDQUEST                    |X                         |O       |M     |        |                 0 |7.0/02 |20,050,215,151,708 |         |         |
|  0AUD_RATNG_TEXT               |P20CLNT023|D      |0AUDCLCOD                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,123,909 |         |         |
|  0AUD_RATNG_TEXT               |P2CCLNT023|D      |0AUDCLCOD                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,123,909 |         |         |
|  0AUD_RATNG_TEXT               |P2SCLNT023|D      |0AUDCLCOD                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,123,909 |         |         |
|  0AUD_RATNG_TEXT               |P2WCLNT023|D      |0AUDCLCOD                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,123,909 |         |         |
|  0AUD_RATPR_TEXT               |P20CLNT023|D      |0AUDRPROF                    |X                         |O       |T     |        |                 0 |7.0/02 |20,050,215,140,303 |         |         |
|  0AUD_RATPR_TEXT               |P2CCLNT023|D      |0AUDRPROF                    |X                         |O       |T     |        |                 0 |7.0/02 |20,050,215,140,303 |         |         |
|  0AUD_RATPR_TEXT               |P2SCLNT023|D      |0AUDRPROF                    |X                         |O       |T     |        |                 0 |7.0/02 |20,050,215,140,303 |         |         |
|  0AUD_RATPR_TEXT               |P2WCLNT023|D      |0AUDRPROF                    |X                         |O       |T     |        |                 0 |7.0/02 |20,050,215,140,303 |         |         |
|  0AUD_RES_TEXT                 |P20CLNT023|D      |0AUD_ASRE                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,125,827 |         |         |
|  0AUD_RES_TEXT                 |P2CCLNT023|D      |0AUD_ASRE                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,125,827 |         |         |
|  0AUD_RES_TEXT                 |P2SCLNT023|D      |0AUD_ASRE                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,125,827 |         |         |
|  0AUD_RES_TEXT                 |P2WCLNT023|D      |0AUD_ASRE                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,125,827 |         |         |
|  0AUD_ROLE                     |P20CLNT023|D      |0AUD_ROL                     |X                         |I       |D     |        |                 0 |7.0/02 |20,050,215,152,403 |         |         |
|  0AUD_ROLE                     |P2CCLNT023|D      |0AUD_ROL                     |X                         |I       |D     |        |                 0 |7.0/02 |20,050,215,152,403 |         |         |
|  0AUD_ROLE                     |P2SCLNT023|D      |0AUD_ROL                     |X                         |I       |D     |        |                 0 |7.0/02 |20,050,215,152,403 |         |         |
|  0AUD_ROLE                     |P2WCLNT023|D      |0AUD_ROL                     |X                         |I       |D     |        |                 0 |7.0/02 |20,050,215,152,403 |         |         |
|  0AUD_ROLE_TEXT                |P20CLNT023|D      |0AUDROLNR                    |X                         |O       |T     |        |                 0 |7.0/02 |20,050,215,135,430 |         |         |
|  0AUD_ROLE_TEXT                |P2CCLNT023|D      |0AUDROLNR                    |X                         |O       |T     |        |                 0 |7.0/02 |20,050,215,135,430 |         |         |
|  0AUD_ROLE_TEXT                |P2SCLNT023|D      |0AUDROLNR                    |X                         |O       |T     |        |                 0 |7.0/02 |20,050,215,135,430 |         |         |
|  0AUD_ROLE_TEXT                |P2WCLNT023|D      |0AUDROLNR                    |X                         |O       |T     |        |                 0 |7.0/02 |20,050,215,135,430 |         |         |
|  0AUD_SUG_TEXT                 |P20CLNT023|D      |0AUD_ASSU                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,130,106 |         |         |
|  0AUD_SUG_TEXT                 |P2CCLNT023|D      |0AUD_ASSU                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,130,106 |         |         |
|  0AUD_SUG_TEXT                 |P2SCLNT023|D      |0AUD_ASSU                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,130,106 |         |         |
|  0AUD_SUG_TEXT                 |P2WCLNT023|D      |0AUD_ASSU                    |X                         |O       |T     |        |                 0 |7.0/02 |20,041,215,130,106 |         |         |
|  0AUD_TYPE_TEXT                |P20CLNT023|D      |0AUD_TYP                     |X                         |O       |T     |        |                 0 |7.0/02 |20,050,215,135,650 |         |         |
|  0AUD_TYPE_TEXT                |P2CCLNT023|D      |0AUD_TYP                     |X                         |O       |T     |        |                 0 |7.0/02 |20,050,215,135,650 |         |         |
|  0AUD_TYPE_TEXT                |P2SCLNT023|D      |0AUD_TYP                     |X                         |O       |T     |        |                 0 |7.0/02 |20,050,215,135,650 |         |         |
|  0AUD_TYPE_TEXT                |P2WCLNT023|D      |0AUD_TYP                     |X                         |O       |T     |        |                 0 |7.0/02 |20,050,215,135,650 |         |         |
|  0AUD_VALPR_TEXT               |P20CLNT023|D      |0AUDASPRO                    |X                         |O       |T     |        |                 0 |7.0/02 |20,050,215,140,138 |         |         |
|  0AUD_VALPR_TEXT               |P2CCLNT023|D      |0AUDASPRO                    |X                         |O       |T     |        |                 0 |7.0/02 |20,050,215,140,138 |         |         |
|  0AUD_VALPR_TEXT               |P2SCLNT023|D      |0AUDASPRO                    |X                         |O       |T     |        |                 0 |7.0/02 |20,050,215,140,138 |         |         |
|  0AUD_VALPR_TEXT               |P2WCLNT023|D      |0AUDASPRO                    |X                         |O       |T     |        |                 0 |7.0/02 |20,050,215,140,138 |         |         |
|  0AUTHGRP_TEXT                 |P20CLNT023|D      |0AUTHGRP                     |X                         |O       |T     |        |                 0 |7.0/03 |20,060,104,132,855 |         |         |
|  0AU_ABTYP_TEXT                |P20CLNT023|D      |0AU_ABTYP                    |X                         |O       |T     |        |                 0 |3.1/01 |20,020,829,084,532 |         |         |
|  0AU_CNTRL_TEXT                |P20CLNT023|D      |0AU_CNTRL                    |X                         |O       |T     |        |                 0 |3.1/01 |20,020,829,084,435 |         |         |
|  0AU_EXTST_TEXT                |P20CLNT023|D      |0AU_EXTST                    |X                         |O       |T     |        |                 0 |3.1/01 |20,020,829,084,638 |         |         |
|  0AU_INTST_TEXT                |P20CLNT023|D      |0AU_INTST                    |X                         |O       |T     |        |                 0 |3.1/01 |20,020,829,084,743 |         |         |
|  0AU_PPC_CONF_1                |P20CLNT023|D      |0AU_PP_CONF                  |X                         |I       |D     |        |                 0 |3.0/01 |20,010,322,183,356 |         |         |
|  0AU_PPC_GI_1                  |P20CLNT023|D      |0AU_PPC_GI                   |X                         |I       |D     |        |                 0 |3.0/01 |20,010,510,123,659 |         |         |
|  0AU_VM_BW_GA                  |P20CLNT023|D      |0IS_AU_VMS_01                |X                         |I       |D     |        |                 0 |3.5/02 |20,040,311,095,813 |         |         |
|  0AU_VM_BW_GC                  |P20CLNT023|D      |0IS_AU_VMS_02                |X                         |I       |D     |        |                 0 |3.5/02 |20,040,123,141,511 |         |         |
|  0AU_VM_BW_GD                  |P20CLNT023|D      |0IS_AU_VMS_03                |X                         |I       |D     |        |                 0 |3.5/02 |20,040,405,100,026 |         |         |
|  0AU_VM_BW_GO                  |P20CLNT023|D      |0IS_AU_VMS_04                |X                         |I       |D     |        |                 0 |3.5/02 |20,040,122,124,334 |         |         |
|  0AU_WTY_HEADER                |P20CLNT023|D      |0AU_WTY_HEADER               |X                         |I       |D     |        |                 0 |3.2/01 |20,030,130,134,321 |         |         |
|  0AU_WTY_ITEM                  |P20CLNT023|D      |0AU_WTY_ITEM                 |X                         |I       |D     |        |                 0 |3.2/01 |20,030,131,144,303 |         |         |
|  0AU_WTY_MASTER                |P20CLNT023|D      |0AU_WTY_MASTER               |X                         |I       |D     |        |                 0 |3.2/01 |20,021,129,143,008 |         |         |
|  0AU_WTY_MEAS                  |P20CLNT023|D      |0AU_WTY_MEAS                 |X                         |I       |D     |        |                 0 |3.2/01 |20,021,129,141,845 |         |         |
|  0AU_WTY_VERSION               |P20CLNT023|D      |0AU_WTY_VERSION              |X                         |I       |D     |        |                 0 |3.2/01 |20,021,129,141,237 |         |         |
|  0AVAILABLE_TEXT               |P20CLNT023|D      |0AVAILABLE                   |X                         |O       |T     |        |                 0 |2.0/02 |20,000,629,095,120 |         |         |
|  0AWARD_ATTR                   |P20CLNT023|D      |0AWARD                       |X                         |O       |M     |        |                 0 |3.3/01 |20,030,702,095,850 |         |         |
|  0AWARD_TEXT                   |P20CLNT023|D      |0AWARD                       |X                         |O       |T     |        |                 0 |3.0/02 |20,020,221,090,216 |         |         |
|  0BANKKEY_TEXT                 |P20CLNT023|D      |0BANKKEY                     |X                         |O       |T     |        |                 0 |3.5/03 |20,040,712,133,302 |         |         |
|  0BANKKEY_TEXT                 |P2CCLNT023|D      |0BANKKEY                     |X                         |O       |T     |        |                 0 |3.5/03 |20,040,712,133,302 |         |         |
|  0BANKKEY_TEXT                 |P2SCLNT023|D      |0BANKKEY                     |X                         |O       |T     |        |                 0 |3.5/03 |20,040,712,133,302 |         |         |
|  0BANKKEY_TEXT                 |P2WCLNT023|D      |0BANKKEY                     |X                         |O       |T     |        |                 0 |3.5/03 |20,040,712,133,302 |         |         |
|  0BA_BA_DR_1                   |PC_FILE   |D      |0BA_BA_DR_1                  |X                         |I       |D     |        |                 0 |7.0/03 |20,060,517,142,111 |         |         |
|  0BA_BA_DR_1                   |SAP_DEMO  |D      |0BA_BA_DR_1                  |X                         |I       |D     |        |                 0 |7.0/03 |20,060,517,142,111 |         |         |
|  0BA_BA_DR_1                   |ZFLAT2_SAP|D      |0BA_BA_DR_1                  |X                         |I       |D     |        |                 0 |7.0/03 |20,060,517,142,111 |         |         |
|  0BA_BA_DR_1                   |ZFLAT3_LEG|D      |0BA_BA_DR_1                  |X                         |I       |D     |        |                 0 |7.0/03 |20,060,517,142,111 |         |         |
|  0BA_BA_DR_1                   |ZFLAT3_SAP|D      |0BA_BA_DR_1                  |X                         |I       |D     |        |                 0 |7.0/03 |20,060,517,142,111 |         |         |
|  0BA_BA_DR_1                   |ZFLAT4_LEG|D      |0BA_BA_DR_1                  |X                         |I       |D     |        |                 0 |7.0/03 |20,060,517,142,111 |         |         |
|  0BA_BA_DR_1                   |ZFLATF_2ND|D      |0BA_BA_DR_1                  |X                         |I       |D     |        |                 0 |7.0/03 |20,060,517,142,111 |         |         |
|  0BA_BA_DR_1                   |ZFLATF_LEG|D      |0BA_BA_DR_1                  |X                         |I       |D     |        |                 0 |7.0/03 |20,060,517,142,111 |         |         |
|  0BA_BA_DR_1                   |ZFLATF_SAP|D      |0BA_BA_DR_1                  |X                         |I       |D     |        |                 0 |7.0/03 |20,060,517,142,111 |         |         |
|  0BA_BA_DR_2                   |PC_FILE   |D      |0BA_BA_DR_2                  |X                         |I       |D     |        |                 0 |3.5/02 |20,031,201,172,925 |         |         |
|  0BA_BA_DR_2                   |SAP_DEMO  |D      |0BA_BA_DR_2                  |X                         |I       |D     |        |                 0 |3.5/02 |20,031,201,172,925 |         |         |
|  0BA_BA_DR_2                   |ZFLAT2_SAP|D      |0BA_BA_DR_2                  |X                         |I       |D     |        |                 0 |3.5/02 |20,031,201,172,925 |         |         |
|  0BA_BA_DR_2                   |ZFLAT3_LEG|D      |0BA_BA_DR_2                  |X                         |I       |D     |        |                 0 |3.5/02 |20,031,201,172,925 |         |         |
|  0BA_BA_DR_2                   |ZFLAT3_SAP|D      |0BA_BA_DR_2                  |X                         |I       |D     |        |                 0 |3.5/02 |20,031,201,172,925 |         |         |
|  0BA_BA_DR_2                   |ZFLAT4_LEG|D      |0BA_BA_DR_2                  |X                         |I       |D     |        |                 0 |3.5/02 |20,031,201,172,925 |         |         |
|  0BA_BA_DR_2                   |ZFLATF_2ND|D      |0BA_BA_DR_2                  |X                         |I       |D     |        |                 0 |3.5/02 |20,031,201,172,925 |         |         |
|  0BA_BA_DR_2                   |ZFLATF_LEG|D      |0BA_BA_DR_2                  |X                         |I       |D     |        |                 0 |3.5/02 |20,031,201,172,925 |         |         |
|  0BA_BA_DR_2                   |ZFLATF_SAP|D      |0BA_BA_DR_2                  |X                         |I       |D     |        |                 0 |3.5/02 |20,031,201,172,925 |         |         |
|  0BA_BA_DR_21                  |PC_FILE   |D      |0BA_BA_DR_21                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,412,195,837 |         |         |
|  0BA_BA_DR_21                  |SAP_DEMO  |D      |0BA_BA_DR_21                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,412,195,837 |         |         |
|  0BA_BA_DR_21                  |ZFLAT2_SAP|D      |0BA_BA_DR_21                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,412,195,837 |         |         |
|  0BA_BA_DR_21                  |ZFLAT3_LEG|D      |0BA_BA_DR_21                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,412,195,837 |         |         |
|  0BA_BA_DR_21                  |ZFLAT3_SAP|D      |0BA_BA_DR_21                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,412,195,837 |         |         |
|  0BA_BA_DR_21                  |ZFLAT4_LEG|D      |0BA_BA_DR_21                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,412,195,837 |         |         |
|  0BA_BA_DR_21                  |ZFLATF_2ND|D      |0BA_BA_DR_21                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,412,195,837 |         |         |
|  0BA_BA_DR_21                  |ZFLATF_LEG|D      |0BA_BA_DR_21                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,412,195,837 |         |         |
|  0BA_BA_DR_21                  |ZFLATF_SAP|D      |0BA_BA_DR_21                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,412,195,837 |         |         |
|  0BA_BA_DR_25                  |PC_FILE   |D      |0BA_BA_DR_25                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,926,193,242 |         |         |
|  0BA_BA_DR_25                  |SAP_DEMO  |D      |0BA_BA_DR_25                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,926,193,242 |         |         |
|  0BA_BA_DR_25                  |ZFLAT2_SAP|D      |0BA_BA_DR_25                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,926,193,242 |         |         |
|  0BA_BA_DR_25                  |ZFLAT3_LEG|D      |0BA_BA_DR_25                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,926,193,242 |         |         |
|  0BA_BA_DR_25                  |ZFLAT3_SAP|D      |0BA_BA_DR_25                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,926,193,242 |         |         |
|  0BA_BA_DR_25                  |ZFLAT4_LEG|D      |0BA_BA_DR_25                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,926,193,242 |         |         |
|  0BA_BA_DR_25                  |ZFLATF_2ND|D      |0BA_BA_DR_25                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,926,193,242 |         |         |
|  0BA_BA_DR_25                  |ZFLATF_LEG|D      |0BA_BA_DR_25                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,926,193,242 |         |         |
|  0BA_BA_DR_25                  |ZFLATF_SAP|D      |0BA_BA_DR_25                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,926,193,242 |         |         |
|  0BA_BA_DR_26                  |PC_FILE   |D      |0BA_BA_DR_26                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,928,171,536 |         |         |
|  0BA_BA_DR_26                  |SAP_DEMO  |D      |0BA_BA_DR_26                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,928,171,536 |         |         |
|  0BA_BA_DR_26                  |ZFLAT2_SAP|D      |0BA_BA_DR_26                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,928,171,536 |         |         |
|  0BA_BA_DR_26                  |ZFLAT3_LEG|D      |0BA_BA_DR_26                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,928,171,536 |         |         |
|  0BA_BA_DR_26                  |ZFLAT3_SAP|D      |0BA_BA_DR_26                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,928,171,536 |         |         |
|  0BA_BA_DR_26                  |ZFLAT4_LEG|D      |0BA_BA_DR_26                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,928,171,536 |         |         |
|  0BA_BA_DR_26                  |ZFLATF_2ND|D      |0BA_BA_DR_26                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,928,171,536 |         |         |
|  0BA_BA_DR_26                  |ZFLATF_LEG|D      |0BA_BA_DR_26                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,928,171,536 |         |         |
|  0BA_BA_DR_26                  |ZFLATF_SAP|D      |0BA_BA_DR_26                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,928,171,536 |         |         |
|  0BA_BA_DR_27                  |PC_FILE   |D      |0BA_BA_DR_27                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,927,205,712 |         |         |
|  0BA_BA_DR_27                  |SAP_DEMO  |D      |0BA_BA_DR_27                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,927,205,712 |         |         |
|  0BA_BA_DR_27                  |ZFLAT2_SAP|D      |0BA_BA_DR_27                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,927,205,712 |         |         |
|  0BA_BA_DR_27                  |ZFLAT3_LEG|D      |0BA_BA_DR_27                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,927,205,712 |         |         |
|  0BA_BA_DR_27                  |ZFLAT3_SAP|D      |0BA_BA_DR_27                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,927,205,712 |         |         |
|  0BA_BA_DR_27                  |ZFLAT4_LEG|D      |0BA_BA_DR_27                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,927,205,712 |         |         |
|  0BA_BA_DR_27                  |ZFLATF_2ND|D      |0BA_BA_DR_27                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,927,205,712 |         |         |
|  0BA_BA_DR_27                  |ZFLATF_LEG|D      |0BA_BA_DR_27                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,927,205,712 |         |         |
|  0BA_BA_DR_27                  |ZFLATF_SAP|D      |0BA_BA_DR_27                 |X                         |I       |D     |        |                 0 |7.0/03 |20,060,927,205,712 |         |         |
|  0BA_BA_DR_3                   |PC_FILE   |D      |0BA_BA_DR_3                  |X                         |I       |D     |        |                 0 |7.0/02 |20,050,608,141,631 |         |         |
|  0BA_BA_DR_3                   |SAP_DEMO  |D      |0BA_BA_DR_3                  |X                         |I       |D     |        |                 0 |7.0/02 |20,050,608,141,631 |         |         |
|  0BA_BA_DR_3                   |ZFLAT2_SAP|D      |0BA_BA_DR_3                  |X                         |I       |D     |        |                 0 |7.0/02 |20,050,608,141,631 |         |         |
|  0BA_BA_DR_3                   |ZFLAT3_LEG|D      |0BA_BA_DR_3                  |X                         |I       |D     |        |                 0 |7.0/02 |20,050,608,141,631 |         |         |
|  0BA_BA_DR_3                   |ZFLAT3_SAP|D      |0BA_BA_DR_3                  |X                         |I       |D     |        |                 0 |7.0/02 |20,050,608,141,631 |         |         |
|  0BA_BA_DR_3                   |ZFLAT4_LEG|D      |0BA_BA_DR_3                  |X                         |I       |D     |        |                 0 |7.0/02 |20,050,608,141,631 |         |         |
|  0BA_BA_DR_3                   |ZFLATF_2ND|D      |0BA_BA_DR_3                  |X                         |I       |D     |        |                 0 |7.0/02 |20,050,608,141,631 |         |         |
|  0BA_BA_DR_3                   |ZFLATF_LEG|D      |0BA_BA_DR_3                  |X                         |I       |D     |        |                 0 |7.0/02 |20,050,608,141,631 |         |         |
|  0BA_BA_DR_3                   |ZFLATF_SAP|D      |0BA_BA_DR_3                  |X                         |I       |D     |        |                 0 |7.0/02 |20,050,608,141,631 |         |         |
|  0BA_BA_DR_4                   |PC_FILE   |D      |0BA_BA_DR_4                  |X                         |I       |D     |        |                 0 |7.0/03 |20,061,201,101,753 |         |         |
|  0BA_BA_DR_4                   |SAP_DEMO  |D      |0BA_BA_DR_4                  |X                         |I       |D     |        |                 0 |7.0/03 |20,061,201,101,753 |         |         |
|  0BA_BA_DR_4                   |ZFLAT2_SAP|D      |0BA_BA_DR_4                  |X                         |I       |D     |        |                 0 |7.0/03 |20,061,201,101,753 |         |         |
|  0BA_BA_DR_4                   |ZFLAT3_LEG|D      |0BA_BA_DR_4                  |X                         |I       |D     |        |                 0 |7.0/03 |20,061,201,101,753 |         |         |
|  0BA_BA_DR_4                   |ZFLAT3_SAP|D      |0BA_BA_DR_4                  |X                         |I       |D     |        |                 0 |7.0/03 |20,061,201,101,753 |         |         |
|  0BA_BA_DR_4                   |ZFLAT4_LEG|D      |0BA_BA_DR_4                  |X                         |I       |D     |        |                 0 |7.0/03 |20,061,201,101,753 |         |         |
|  0BA_BA_DR_4                   |ZFLATF_2ND|D      |0BA_BA_DR_4                  |X                         |I       |D     |        |                 0 |7.0/03 |20,061,201,101,753 |         |         |
|  0BA_BA_DR_4                   |ZFLATF_LEG|D      |0BA_BA_DR_4                  |X                         |I       |D     |        |                 0 |7.0/03 |20,061,201,101,753 |         |         |
|  0BA_BA_DR_4                   |ZFLATF_SAP|D      |0BA_BA_DR_4                  |X                         |I       |D     |        |                 0 |7.0/03 |20,061,201,101,753 |         |         |
|  0BA_BA_DR_5                   |PC_FILE   |D      |0BA_BA_DR_5                  |X                         |I       |D     |        |                 0 |3.5/03 |20,040,628,185,123 |         |         |
|  0BA_BA_DR_5                   |SAP_DEMO  |D      |0BA_BA_DR_5                  |X                         |I       |D     |        |                 0 |3.5/03 |20,040,628,185,123 |         |         |
|  0BA_BA_DR_5                   |ZFLAT2_SAP|D      |0BA_BA_DR_5                  |X                         |I       |D     |        |                 0 |3.5/03 |20,040,628,185,123 |         |         |
|  0BA_BA_DR_5                   |ZFLAT3_LEG|D      |0BA_BA_DR_5                  |X                         |I       |D     |        |                 0 |3.5/03 |20,040,628,185,123 |         |         |
|  0BA_BA_DR_5                   |ZFLAT3_SAP|D      |0BA_BA_DR_5                  |X                         |I       |D     |        |                 0 |3.5/03 |20,040,628,185,123 |         |         |
|  0BA_BA_DR_5                   |ZFLAT4_LEG|D      |0BA_BA_DR_5                  |X                         |I       |D     |        |                 0 |3.5/03 |20,040,628,185,123 |         |         |
|  0BA_BA_DR_5                   |ZFLATF_2ND|D      |0BA_BA_DR_5                  |X                         |I       |D     |        |                 0 |3.5/03 |20,040,628,185,123 |         |         |
|  0BA_BA_DR_5                   |ZFLATF_LEG|D      |0BA_BA_DR_5                  |X                         |I       |D     |        |                 0 |3.5/03 |20,040,628,185,123 |         |         |
|  0BA_BA_DR_5                   |ZFLATF_SAP|D      |0BA_BA_DR_5                  |X                         |I       |D     |        |                 0 |3.5/03 |20,040,628,185,123 |         |         |
|  0BA_BA_DR_6                   |PC_FILE   |D      |0BA_BA_DR_6                  |X                         |I       |D     |        |                 0 |7.0/03 |20,060,518,194,650 |         |         |
