19.04.2015                                                                                  Dynamic List Display                                                                                          1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  OLTPSOURCE                    |LOGSYS    |OBJVERS|ISOURCE                      |TRANSTRU                  |ISOSTYPE|ISTYPE|TSTPNM  |           TIMESTMP|CONTREL|       CONTTIMESTMP|ISSRCTYPE|INVISIBLE|
|  0ACN_BRAND_TEXT               |ZFLATF_LEG|D      |0ACN_BRAND                   |X                         |O       |T     |        |                 0 |2.1/01 |20,000,824,111,458 |         |         |
|  0ACN_BRAND_TEXT               |ZFLATF_SAP|D      |0ACN_BRAND                   |X                         |O       |T     |        |                 0 |2.1/01 |20,000,824,111,458 |         |         |
|  0ACN_EANUPC_ATTR              |PC_FILE   |D      |0ACN_EANUPC                  |X                         |O       |M     |        |                 0 |7.0/02 |20,041,025,101,438 |         |         |
|  0ACN_EANUPC_ATTR              |SAP_DEMO  |D      |0ACN_EANUPC                  |X                         |O       |M     |        |                 0 |7.0/02 |20,041,025,101,438 |         |         |
|  0ACN_EANUPC_ATTR              |ZFLAT2_SAP|D      |0ACN_EANUPC                  |X                         |O       |M     |        |                 0 |7.0/02 |20,041,025,101,438 |         |         |
|  0ACN_EANUPC_ATTR              |ZFLAT3_LEG|D      |0ACN_EANUPC                  |X                         |O       |M     |        |                 0 |7.0/02 |20,041,025,101,438 |         |         |
|  0ACN_EANUPC_ATTR              |ZFLAT3_SAP|D      |0ACN_EANUPC                  |X                         |O       |M     |        |                 0 |7.0/02 |20,041,025,101,438 |         |         |
|  0ACN_EANUPC_ATTR              |ZFLAT4_LEG|D      |0ACN_EANUPC                  |X                         |O       |M     |        |                 0 |7.0/02 |20,041,025,101,438 |         |         |
|  0ACN_EANUPC_ATTR              |ZFLATF_2ND|D      |0ACN_EANUPC                  |X                         |O       |M     |        |                 0 |7.0/02 |20,041,025,101,438 |         |         |
|  0ACN_EANUPC_ATTR              |ZFLATF_LEG|D      |0ACN_EANUPC                  |X                         |O       |M     |        |                 0 |7.0/02 |20,041,025,101,438 |         |         |
