21.04.2015                     Dynamic List Display                            1
--------------------------------------------------------------------------------
-----------------------------------------------------------------------
|  INFOCUBE     |OBJVERS|POSIT|PARTCUBE     |DELTAPROV|DELTAPAIRCLASNM|
|  0BCS_MP21    |D      |    1|0BCS_C21     |         |               |
|  0BCS_MP21    |D      |    2|0BCS_VC11    |         |               |
|  0BWTC_C10    |A      |    1|0BWTC_C02    |         |               |
|  0BWTC_C10    |A      |    2|0BWTC_C03    |         |               |
|  0BWTC_C10    |A      |    3|0BWTC_C04    |         |               |
|  0BWTC_C10    |A      |    4|0BWTC_C05    |         |               |
|  0BWTC_C10    |A      |    5|0BWTC_C09    |         |               |
|  0BWTC_C10    |A      |    6|0BWTC_C11    |         |               |
|  0BWTC_C10    |D      |    1|0BWTC_C02    |         |               |
|  0BWTC_C10    |D      |    2|0BWTC_C03    |         |               |
|  0BWTC_C10    |D      |    3|0BWTC_C04    |         |               |
|  0BWTC_C10    |D      |    4|0BWTC_C05    |         |               |
|  0BWTC_C10    |D      |    5|0BWTC_C09    |         |               |
|  0BWTC_C10    |D      |    6|0BWTC_C11    |         |               |
|  0BWTC_C10    |M      |    1|0BWTC_C02    |         |               |
|  0BWTC_C10    |M      |    2|0BWTC_C03    |         |               |
|  0BWTC_C10    |M      |    3|0BWTC_C04    |         |               |
|  0BWTC_C10    |M      |    4|0BWTC_C05    |         |               |
|  0BWTC_C10    |M      |    5|0BWTC_C09    |         |               |
|  0BWTC_C10    |M      |    6|0BWTC_C11    |         |               |
|  0CATS_MC1    |D      |    1|0CATS_C01    |         |               |
|  0CATS_MC1    |D      |    2|0CATS_C02    |         |               |
|  0CB_MC01     |D      |    1|0CB_C01      |         |               |
|  0CB_MC02     |D      |    1|0CB_C01      |         |               |
|  0CB_MC02     |D      |    2|0CB_C02      |         |               |
|  0CB_MC03     |D      |    1|0CB_C03      |         |               |
|  0CCA_M20     |D      |    1|0CCA_C20     |         |               |
|  0CCA_M20     |D      |    2|0CCA_R20     |         |               |
|  0CCA_M20     |D      |    3|0ACCESSTP    |         |               |
|  0CCA_M30     |D      |    1|0CCA_C30     |         |               |
|  0CCA_M30     |D      |    2|0CCA_R30     |         |               |
|  0CCA_M30     |D      |    3|0ACCESSTP    |         |               |
|  0CCA_M40     |D      |    1|0ACCESSTP    |         |               |
|  0CCA_M40     |D      |    2|0CCA_R40     |         |               |
|  0CCA_M40     |D      |    3|0CCA_D40     |         |               |
|  0CCA_MP01    |D      |    1|0CCA_C11     |         |               |
|  0CCMDMCLI    |D      |    1|0CCM_GSYS    |         |               |
|  0CCMDMCLI    |D      |    2|0CCMDICLI    |         |               |
|  0CCMDMCLI    |D      |    3|0CCMDRCLI    |         |               |
|  0CCMDMCT1    |D      |    1|0CCM_GSYS    |         |               |
|  0CCMDMCT1    |D      |    2|0CCMDICT1    |         |               |
|  0CCMDMCT1    |D      |    3|0CCMDRCT1    |         |               |
|  0CCMDMMN     |D      |    1|0CCMDIMN     |         |               |
|  0CCMDMMN     |D      |    2|0CCM_GSYS    |         |               |
|  0CCMDMMN     |D      |    3|0CCMDRMN     |         |               |
|  0CCMPDATA    |D      |    1|0CCMIAGGR    |         |               |
|  0CCMPDATA    |D      |    2|0CCMDAY1     |         |               |
|  0CCMPDATA    |D      |    3|0CCMDAY2     |         |               |
|  0CCMPDATA    |D      |    4|0CCMMIN1     |         |               |
|  0CCMPDATA    |D      |    5|0CCMMIN2     |         |               |
|  0CCMPDATA    |D      |    6|0CCMMNTH1    |         |               |
|  0CCMPDATA    |D      |    7|0CCMMNTH2    |         |               |
|  0CCMPDATA    |D      |    8|0CCMQTR1     |         |               |
|  0CCMPDATA    |D      |    9|0CCMQTR2     |         |               |
|  0CCMPDATA    |D      |   10|0CCMWEEK1    |         |               |
|  0CCMPDATA    |D      |   11|0CCMWEEK2    |         |               |
|  0CCMPDATA    |D      |   12|0CCMVRKF     |         |               |
|  0CCMPDATA    |D      |   13|0CCMHOUR1    |         |               |
|  0CCMPDATA    |D      |   14|0CCMHOUR2    |         |               |
|  0CCMSDSR     |D      |    1|0CCM_CSEL    |         |               |
|  0CCMSDSR     |D      |    2|0CCM_DSTS    |         |               |
|  0CCMSDSR     |D      |    3|0CCMDAHGR    |         |               |
|  0CCMSMESI    |D      |    1|0CCMSSERV    |         |               |
|  0CCMSMESI    |D      |    2|0CCMSTIME    |         |               |
|  0CCMSMESI    |D      |    3|0CCMSAETP    |         |               |
|  0CCMSMESI    |D      |    4|0CCMAETPH    |         |               |
|  0CCMSMRC     |D      |    1|0CCMARCH     |         |               |
|  0CCMSMRC     |D      |    2|0CCMSARC     |         |               |
|  0CCMSMRCD    |D      |    1|0CCMARCDH    |         |               |
|  0CCMSMRCD    |D      |    2|0CCMSARCD    |         |               |
|  0CCMSMRS     |D      |    1|0CCMARSH     |         |               |
|  0CCMSMRS     |D      |    2|0CCMSARS     |         |               |
|  0CCMSMRSD    |D      |    1|0CCMARSDH    |         |               |
|  0CCMSMRSD    |D      |    2|0CCMSARSD    |         |               |
|  0CCMSMTPH    |D      |    1|0CCMSATPH    |         |               |
|  0CCMSMTPH    |D      |    2|0CCMSATIM    |         |               |
|  0CCMSMTPH    |D      |    3|0CCMSSERV    |         |               |
|  0CCMSMTPH    |D      |    4|0CCMSTIME    |         |               |
|  0CCMSWORK    |D      |    1|0CCMSSERV    |         |               |
|  0CCMSWORK    |D      |    2|0CCMSTIME    |         |               |
|  0CCMSWORK    |D      |    3|0CCMSATIM    |         |               |
|  0CCMSWORK    |D      |    4|0CCMSATPH    |         |               |
|  0CCMWAMDB    |D      |    1|0CCMWAIDB    |         |               |
|  0CCMWAMDB    |D      |    2|0CCM_GSYS    |         |               |
|  0CCMWAMDB    |D      |    3|0CCMWAADB    |         |               |
|  0CCMWAMMN    |D      |    1|0CCMWAAMM    |         |               |
|  0CCMWAMMN    |D      |    2|0CCMWASMI    |         |               |
|  0CCMWAMMN    |D      |    3|0CCM_GSYS    |         |               |
|  0CCMWMADM    |D      |    1|0CCMWIADM    |         |               |
|  0CCMWMADM    |D      |    2|0CCMWRADM    |         |               |
|  0CCMWMADM    |D      |    3|0CCM_GSYS    |         |               |
|  0CCMWMBTC    |D      |    1|0CCMWRBTC    |         |               |
|  0CCMWMBTC    |D      |    2|0CCM_GSYS    |         |               |
|  0CCMWMBTC    |D      |    3|0CCMWIBTC    |         |               |
|  0CCMWMCLI    |D      |    1|0CCMWICLI    |         |               |
|  0CCMWMCLI    |D      |    2|0CCMWRCLI    |         |               |
|  0CCMWMCLI    |D      |    3|0CCM_GSYS    |         |               |
|  0CCMWMDB     |D      |    1|0CCMWIDB     |         |               |
|  0CCMWMDB     |D      |    2|0CCMWRDB     |         |               |
|  0CCMWMDB     |D      |    3|0CCM_GSYS    |         |               |
|  0CCMWMDBP    |D      |    1|0CCMWIDBP    |         |               |
|  0CCMWMDBP    |D      |    2|0CCMWRDBP    |         |               |
|  0CCMWMDBP    |D      |    3|0CCM_GSYS    |         |               |
|  0CCMWMHC     |D      |    1|0CCMWIHC     |         |               |
|  0CCMWMHC     |D      |    2|0CCMWRHC     |         |               |
|  0CCMWMHC     |D      |    3|0CCM_GSYS    |         |               |
|  0CCMWMHCD    |D      |    1|0CCMWIHCD    |         |               |
|  0CCMWMHCD    |D      |    2|0CCMWRHCD    |         |               |
|  0CCMWMHCD    |D      |    3|0CCM_GSYS    |         |               |
|  0CCMWMHS     |D      |    1|0CCMWIHS     |         |               |
|  0CCMWMHS     |D      |    2|0CCMWRHS     |         |               |
|  0CCMWMHS     |D      |    3|0CCM_GSYS    |         |               |
