19.04.2015                                                                                                                                                          Dynamic List Display                                                                                                                                                                 1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  INFOSPOKE              |OBJVERS|APPLNM                   |OHDEST   |OHSOURCE   |OHSRCTYPE|UPDMODE|MAXSIZE|BCTCOMP|STRUCTURE1                    |STRUCTURE2                 |IMP_NAME            |DREQSER|BTCSRVNAME|DIALOGTASK|OBJSTAT|CONTREL|CONTTIMESTMP|OWNER|BWAPPL|ACTIVFL|TSTPNM|           TIMESTMP|TXTSH               |TXTLG               |
|  Z_0BBP_PO_K001D        |A      |0BBP                     |DW03425D |0BBP_PO    |ODSO_D   |D      |  50000|       |/BIC/CYZ_0BBP_PO_K001D        |/BIC/CZZ_0BBP_PO_K001D     |ZZ_0BBP_PO_K001D    |      1|          |          |ACT    |       |          0 |     |      |X      |DDIC  |20,070,127,235,536 |PRD Purch Ord ODS  D|PRD Purch Ord ODS  D|
|  Z_0BBP_PO_K001D        |M      |0BBP                     |DW03425D |0BBP_PO    |ODSO_D   |D      |  50000|       |/BIC/CYZ_0BBP_PO_K001D        |/BIC/CZZ_0BBP_PO_K001D     |ZZ_0BBP_PO_K001D    |      1|          |          |ACT    |       |          0 |     |      |X      |DDIC  |20,070,127,235,531 |PRD Purch Ord ODS  D|PRD Purch Ord ODS  D|
|  Z_0BBP_PO_K001F        |A      |0BBP                     |DW03425F |0BBP_PO    |ODSO     |F      |  50000|       |/BIC/CYZ_0BBP_PO_K001F        |/BIC/CZZ_0BBP_PO_K001F     |ZZ_0BBP_PO_K001F    |      2|          |X         |ACT    |       |          0 |     |      |X      |DDIC  |20,071,116,180,142 |PRD Purch Ord ODS  F|PRD Purch Ord ODS  F|
|  Z_0BBP_PO_K001F        |M      |0BBP                     |DW03425F |0BBP_PO    |ODSO     |F      |  50000|       |/BIC/CYZ_0BBP_PO_K001F        |/BIC/CZZ_0BBP_PO_K001F     |ZZ_0BBP_PO_K001F    |      2|          |X         |ACT    |       |          0 |     |      |X      |DDIC  |20,071,116,180,114 |PRD Purch Ord ODS  F|PRD Purch Ord ODS  F|
|  Z_0COOM_C02_K001       |A      |0COOM                    |DW03507  |0COOM_C02  |CUBE     |D      |  10000|       |/BIC/CYZ_0COOM_C02_K001       |/BIC/CZZ_0COOM_C02_K001    |ZZ_0COOM_C02_K001   |      1|          |          |ACT    |       |          0 |     |      |X      |DDIC  |20,070,203,231,138 |CO Cost + Alloc Cube|CO Cost + Alloc Cube|
|  Z_0COOM_C02_K001       |M      |0COOM                    |DW03507  |0COOM_C02  |CUBE     |D      |  10000|       |/BIC/CYZ_0COOM_C02_K001       |/BIC/CZZ_0COOM_C02_K001    |ZZ_0COOM_C02_K001   |      1|          |          |ACT    |       |          0 |     |      |X      |DDIC  |20,070,203,231,135 |CO Cost + Alloc Cube|CO Cost + Alloc Cube|
|  Z_0CUSTOMER_K001       |A      |LO-IO                    |DW03611  |0CUSTOMER  |IOBJ_A   |F      |  50000|       |/BIC/CYZ_0CUSTOMER_K001       |/BIC/CZZ_0CUSTOMER_K001    |ZZ_0CUSTOMER_K001   |      1|          |          |ACT    |       |          0 |     |      |X      |DDIC  |20,070,127,230,738 |MD Customer Attr    |MD Customer Attr    |
|  Z_0CUSTOMER_K001       |M      |LO-IO                    |DW03611  |0CUSTOMER  |IOBJ_A   |F      |  50000|       |/BIC/CYZ_0CUSTOMER_K001       |/BIC/CZZ_0CUSTOMER_K001    |ZZ_0CUSTOMER_K001   |      1|          |          |ACT    |       |          0 |     |      |X      |DDIC  |20,070,127,230,733 |MD Customer Attr    |MD Customer Attr    |
|  Z_0CUST_SALES_K001     |A      |LO-IO                    |DW03615  |0CUST_SALES|IOBJ_A   |F      |  50000|       |/BIC/CYZ_0CUST_SALES_K001     |/BIC/CZZ_0CUST_SALES_K001  |ZZ_0CUST_SALES_K001 |      1|          |          |ACT    |       |          0 |     |      |X      |DDIC  |20,070,127,230,821 |MD Cust Sales Attr  |MD Cust Sales Attr  |
|  Z_0CUST_SALES_K001     |M      |LO-IO                    |DW03615  |0CUST_SALES|IOBJ_A   |F      |  50000|       |/BIC/CYZ_0CUST_SALES_K001     |/BIC/CZZ_0CUST_SALES_K001  |ZZ_0CUST_SALES_K001 |      1|          |          |ACT    |       |          0 |     |      |X      |DDIC  |20,070,127,230,818 |MD Cust Sales Attr  |MD Cust Sales Attr  |
