19.04.2015                                                                                                                                                                                                                                                                                      Dynamic List Display                                                                                                                                                                                                                                                                                              1
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  TRANID                          |OBJVERS|OBJSTAT|CONTREL|       CONTTIMESTMP|OWNER   |BWAPPL|ACTIVFL|TSTPNM  |           TIMESTMP|SOURCETYPE|SOURCESUBTYPE|SOURCENAME                              |TARGETTYPE|TARGETSUBTYPE|TARGETNAME                |STARTROUTINE             |ENDROUTINE               |EXPERT                   |GLBCODE                  |TRANPROG                 |VERSION_CUR|TARGET_TAB_TYPE|IS_SHADOW|SHADOW_TRANID                   |GLBCODE2                 |ALL_FIELDS|ORGTRANID                       |TXTSH|TXTMD|TXTLG                                                       |
|  001FGWDCS9YE2XREX3XCT5G2GUAB2D6U|D      |INA    |7.0/03 |20,070,823,100,304 |SAP     |      |X      |SAP     |20,070,823,100,304 |RSDS      |             |0FI_AR_20                     P20CLNT023|CUBE      |             |0FIAR_R20                 |                         |                         |                         |                         |                         |         0 |               |         |0KU8Z6PBEJW4SXPTXV4IMYT8C0Y51D6I|                         |          |0KU8Z6PBEJW4SXPTXV4IMYT8C0Y51D6I|     |     |                                                            |
|  001KMSBJI9XCVHEDP86KCWKL7TYHMUGM|D      |INA    |7.0/04 |20,080,715,135,154 |SAP     |      |       |SAP     |20,080,715,135,154 |RSDS      |             |0FMD_FCRS_TEXT                P2WCLNT023|IOBJ      |TEXT         |0FMD_FCRS                 |                         |                         |                         |                         |                         |         0 |               |         |0E9QEECBZ314TMZ0C6QT4JDD5VPUXTX8|                         |          |0E9QEECBZ314TMZ0C6QT4JDD5VPUXTX8|     |     |                                                            |
|  001NE3TY2R1289ITI9V98V4ZVXM057YD|D      |INA    |7.0/04 |20,090,422,091,546 |SAP     |      |       |SAP     |20,090,422,091,546 |RSDS      |             |0CCMS_DSR_DATA                P20CLNT023|ODSO      |             |0CCMDDCLI                 |                         |                         |4NJ0DYDEK6NKXMI4G66GXMASX|4NJ0DYL3359AG91KM08T7O9IP|                         |         0 |               |         |06D29Q79RXM3TMVMPS5FDUU0YRNYO40F|4NJ0DYSRM3UZYVL0RUB5HQ88H|          |06D29Q79RXM3TMVMPS5FDUU0YRNYO40F|     |     |                                                            |
|  001RNZWO60B9ZFSTILZBISH0T6DROADM|D      |INA    |7.0/03 |20,061,221,161,831 |SAP     |      |X      |SAP     |20,061,221,161,831 |RSDS      |             |0TB_RLMEMCT_TEXT              R/3710    |IOBJ      |TEXT         |0TB_RLMEMCT               |                         |                         |                         |                         |                         |         0 |               |X        |                                |                         |          |                                |     |     |                                                            |
|  001VG06AXXOXD9P5OX1M2TV52E2PI7AW|A      |ACT    |       |                 0 |10130903|      |X      |DDIC    |20,140,105,025,056 |ODSO      |             |ZO00145                                 |ODSO      |             |ZO00191                   |                         |4WFPYZH2IF37DZ85M13YRSVG0|                         |4WFPYZOR1DOWWLRLRV6B1UU5S|4NJ19UCE16LFKP9SVMOJSJMLR|         0 |               |         |                                |4WFPYZWFKCAMF8B1XP8NBWSVK|          |001VG06AXXOXD9P5OX1M2TV52E2PI7AW|     |     |                                                            |
|  001VG06AXXOXD9P5OX1M2TV52E2PI7AW|M      |ACT    |       |                 0 |10130903|      |X      |10130903|20,131,226,213,345 |ODSO      |             |ZO00145                                 |ODSO      |             |ZO00191                   |                         |4WFPYZH2IF37DZ85M13YRSVG0|                         |4WFPYZOR1DOWWLRLRV6B1UU5S|4NJ19UCE16LFKP9SVMOJSJMLR|         0 |               |         |                                |4WFPYZWFKCAMF8B1XP8NBWSVK|          |001VG06AXXOXD9P5OX1M2TV52E2PI7AW|     |     |                                                            |
|  0021DWOCJ32UNX2HLAUJBLUKZYCZ642C|D      |INA    |7.0/03 |20,071,121,204,233 |SAP     |      |       |SAP     |20,071,121,204,233 |RSDS      |             |0GCC_MITREFT_TEXT             ZFLATF_SAP|IOBJ      |TEXT         |0GCC_MITREF               |                         |                         |                         |                         |                         |         0 |               |         |0HR5ZSSPSC0LJU83RD10AYFIOHVD8CVL|                         |          |0HR5ZSSPSC0LJU83RD10AYFIOHVD8CVL|     |     |                                                            |
|  00267RVQ3S6BXM217RS86RVP1U6DJ4DG|D      |INA    |7.0/03 |20,070,604,114,406 |SAP     |      |X      |SAP     |20,070,604,114,406 |ODSO      |             |0TMS_DS01                               |CUBE      |             |0TMS_C01                  |                         |                         |                         |                         |                         |         0 |               |         |                                |                         |          |                                |     |     |                                                            |
|  0026YXD7BDEU4OGTRWLVKDZ78LKIGK1K|D      |INA    |7.0/03 |20,071,120,155,456 |SAP     |      |       |SAP     |20,071,120,155,456 |RSDS      |             |0ARTICLE_ATTR                 R/3640    |IOBJ      |ATTR         |0MATERIAL                 |                         |                         |                         |                         |                         |         0 |               |X        |                                |                         |          |                                |     |     |                                                            |
|  002QOPTH7KTL9KW5CMXXQWZZ8ZOIOJCT|D      |INA    |7.0/03 |20,070,926,134,620 |SAP     |      |X      |SAP     |20,070,926,134,620 |RSDS      |             |0GL_CLRSTAT_TEXT              P20CLNT023|IOBJ      |TEXT         |0GL_CLRSTAT               |                         |                         |                         |                         |                         |         0 |               |         |0NJE8NOY95L4UAD0UP2KBVXG2IG7OB7A|                         |          |0NJE8NOY95L4UAD0UP2KBVXG2IG7OB7A|     |     |                                                            |
|  002VDNI6UA6KAMHSDSNWIXWGBPBZRJLG|D      |INA    |7.0/04 |20,100,302,101,908 |SAP     |      |       |SAP     |20,100,302,101,908 |RSDS      |             |0FSCM_CM_6                    P2WCLNT023|TRCS      |             |0FSCM_CM_6                |                         |                         |                         |                         |                         |         0 |               |         |0R4DEF6BD0T5C0HCAOPFDPDJCU8608BT|                         |          |0R4DEF6BD0T5C0HCAOPFDPDJCU8608BT|     |     |                                                            |
|  002W96NBBCVXW1PM3UNS3M7GBLBLDOYC|D      |INA    |7.0/03 |20,060,207,101,721 |SAP     |      |       |SAP     |20,060,207,101,721 |RSDS      |             |0CCMS_SELOPTION               SAP1.0    |IOBJ      |TEXT         |0CCMSSERV                 |                         |                         |3ZIP2SKW4TGHGR0XSODGXLPMN|3ZIP2W7H35PJ9E7KJVH9OJ3SV|                         |         0 |               |X        |                                |                         |          |                                |     |     |                                                            |
|  002XOSJGP4C5HNI27RKG8MGMKQBVC8RD|D      |INA    |7.0/03 |20,071,223,190,319 |SAP     |      |X      |SAP     |20,071,223,190,319 |RSDS      |             |0GAE_UAR_ROLE                 ZFLATF_2ND|ODSO      |             |0GAE_UARO                 |4GWB0GZSLDEECEH6M8CAUAUY5|                         |                         |4GWB0H7H4C03V10MS2EN4CTNX|                         |         0 |               |         |0RPMWOCK54CCGC4LPMCASJ4MC5FCL7C2|4GWB0HF5NALTDNK2XWGZEESDP|          |0RPMWOCK54CCGC4LPMCASJ4MC5FCL7C2|     |     |                                                            |
|  00321BNTTISB462ESN05WIDCG8252HJT|D      |INA    |7.0/03 |20,071,224,020,126 |SAP     |      |X      |SAP     |20,071,224,020,126 |RSDS      |             |0GAE_ATCH_AR                  PC_FILE   |ODSO      |             |0GAE_ARAT                 |                         |                         |                         |4GWAB5OZ23W1K92QCCLHZ96P9|                         |         0 |               |         |0J1PZE60U946AVRKOZ67MX1LO60UURWB|4GWAB5WNL2HR2VM6I6NU9B5F1|          |0J1PZE60U946AVRKOZ67MX1LO60UURWB|     |     |0GAE_ATCH_AR VFACLNT000 -> ODSO 0GAE_ARAT                   |
|  0036JN8PD8M8C2QEMH21V3JUJHIZ78MD|D      |INA    |7.0/03 |20,070,925,142,545 |SAP     |      |X      |SAP     |20,070,925,142,545 |RSDS      |             |0XA_GLO_GEO                   XSA010    |IOBJ      |TEXT         |0XAGEO                    |                         |                         |                         |                         |                         |         0 |               |X        |                                |                         |          |                                |     |     |                                                            |
|  003BXPUJS6FP2HC48IJ0Q4JR3G2KXRXE|D      |INA    |7.0/03 |20,080,114,213,059 |SAP     |      |X      |SAP     |20,080,114,213,059 |RSDS      |             |0PCQM_OBJ                     P2WCLNT023|IOBJ      |ATTR         |0PCQMOBJ                  |                         |                         |                         |                         |                         |         0 |               |         |0B1MURFK8DPE1TH04P3OP43P5171F4WO|                         |          |0B1MURFK8DPE1TH04P3OP43P5171F4WO|     |     |                                                            |
|  003E8DMATAC7G7KCTZ387NPEINVWRMFF|D      |INA    |7.0/03 |20,071,127,020,652 |SAP     |      |       |SAP     |20,071,127,020,652 |RSDS      |             |0GCC_SYSTEMC_ACTUAL_MD        ZFLATF_LEG|IOBJ      |ATTR         |0GCC_VSYS                 |4GWB59LYOZ8TWXJDQUY8SG08D|                         |                         |4GWB59TN7XUJFK2TWP0L2HYY5|                         |         0 |               |         |0FL6TSHZITB6KGNOHK8KQJJ4M79YWEF0|4GWB5A1BQWG8Y6MA2J2XCJXNX|          |0FL6TSHZITB6KGNOHK8KQJJ4M79YWEF0|     |     |                                                            |
|  003J9V6DQAH83XHY1U4S17SGAQQI6ZA7|D      |INA    |7.0/03 |20,071,204,012,034 |SAP     |      |       |SAP     |20,071,204,012,034 |RSDS      |             |0GCC_BUSUNITT_TEXT            ZFLAT3_LEG|IOBJ      |TEXT         |0GCC_BUSUNT               |                         |                         |                         |                         |                         |         0 |               |         |0MPMJWND1DLK5NM1QETO6N07YCKW1R38|                         |          |0MPMJWND1DLK5NM1QETO6N07YCKW1R38|     |     |                                                            |
|  003KOBLVZUGWNRFM1R6MC5IWDSF71IAZ|D      |INA    |7.0/03 |20,061,011,041,741 |SAP     |      |X      |SAP     |20,061,011,041,741 |RSDS      |             |0WFA_15MIN_ATTR               R/3700    |IOBJ      |ATTR         |0CRM_15MIN                |                         |                         |                         |                         |                         |         0 |               |X        |                                |                         |          |                                |     |     |                                                            |
|  003LCCUZQDVZPGG8Q18T9N32ELNV8P18|D      |INA    |7.0/04 |20,080,606,205,440 |SAP     |      |       |SAP     |20,080,606,205,440 |RSDS      |             |0GCC_ACTUSAGE                 GAC000    |ODSO      |             |0GCC_ACUS                 |                         |                         |                         |                         |                         |         0 |               |X        |                                |                         |          |                                |     |     |                                                            |
|  003PC0V0UYYVCO25Z51C7I9U78KJ9QLX|D      |INA    |7.0/04 |20,100,301,161,846 |SAP     |      |       |SAP     |20,100,301,161,846 |RSDS      |             |0BA_ALM_YIELD                 ZFLATF_2ND|ODSO      |             |0BA_ALM1                  |                         |                         |                         |                         |                         |         0 |               |         |0T2FGR9SOXHW97PJ0RUY3D7893QR8JL4|                         |          |0T2FGR9SOXHW97PJ0RUY3D7893QR8JL4|     |     |                                                            |
|  003RM4ZA1LK6H40NGKHWBHVW8CGQOWEP|D      |INA    |7.0/03 |20,071,205,225,119 |SAP     |      |X      |SAP     |20,071,205,225,119 |RSDS      |             |0GCC_PRMVL_PROF_VIOLS         PC_FILE   |CUBE      |             |0GCC_PPV                  |                         |                         |                         |4GWADVF0AC2OJ0ICKUDPW8UNH|                         |         0 |               |         |0N4UZ4HUWIPLBARJJ9SCJ6C54WM4ARHK|4GWADVMOTAOE1N1SQOG26ATD9|          |0N4UZ4HUWIPLBARJJ9SCJ6C54WM4ARHK|     |     |                                                            |
|  003Z9ED9Q1TUQA9SLWRQYVAWTW2O5XA7|D      |INA    |7.0/03 |20,060,306,103,633 |SAP     |      |X      |SAP     |20,060,306,103,633 |ODSO      |             |0DF_DS54                                |CUBE      |             |0DF_C26                   |3BBDXZFG958T6LGXIUXFKLRTC|                         |                         |3DG43BE1MIZHBRNHQIMYEXEZ4|                         |         0 |               |         |                                |                         |          |                                |     |     |                                                            |
|  003ZQX1E9C3K3663IAVK65LKD0G7KXEA|D      |INA    |7.0/03 |20,061,219,225,739 |SAP     |      |X      |SAP     |20,061,219,225,739 |RSDS      |             |0HREIC_HAP_DOC_ID_TEXT        R/3700    |IOBJ      |TEXT         |0HAP_DOC_ID               |                         |                         |                         |                         |                         |         0 |               |X        |                                |                         |          |                                |     |     |                                                            |
|  004J1E2I2FLW40CIPS2FC99YCZII8QH0|D      |INA    |7.0/04 |20,090,226,131,724 |SAP     |      |X      |SAP     |20,090,226,131,724 |ODSO      |             |0REFXDS03                               |IOBJ      |ATTR         |0REBUILDING               |                         |                         |                         |                         |                         |         0 |               |         |                                |                         |          |                                |     |     |                                                            |
|  004XP4T0V0QZSC4AV4O5K8K893DMPAOI|D      |INA    |7.0/05 |20,090,506,204,906 |SAP     |      |       |SAP     |20,090,506,204,906 |RSDS      |             |0GRM_RP_TEXT                  SAPGRC010 |IOBJ      |TEXT         |0GRM_RP                   |                         |                         |                         |                         |                         |         0 |               |X        |                                |                         |          |                                |     |     |                                                            |
|  0054GBNNT1DRIPDT0Z3XG43MN4QVMHHL|D      |INA    |7.0/03 |20,070,501,163,211 |SAP     |      |X      |SAP     |20,070,501,163,211 |RSDS      |             |0PROCTYPE_TEXT                P2CCLNT023|IOBJ      |TEXT         |0PROCTYPE                 |                         |                         |                         |                         |                         |         0 |               |         |02SC6XTWVZKXUKT0L02RFYICHB71IOHB|                         |          |02SC6XTWVZKXUKT0L02RFYICHB71IOHB|     |     |                                                            |
