19.04.2015                                                                                                                                                                                                                                                                                      Dynamic List Display                                                                                                                                                                                                                                                                                              1
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  TRANID                          |OBJVERS|OBJSTAT|CONTREL|       CONTTIMESTMP|OWNER   |BWAPPL|ACTIVFL|TSTPNM  |           TIMESTMP|SOURCETYPE|SOURCESUBTYPE|SOURCENAME                              |TARGETTYPE|TARGETSUBTYPE|TARGETNAME                |STARTROUTINE             |ENDROUTINE               |EXPERT                   |GLBCODE                  |TRANPROG                 |VERSION_CUR|TARGET_TAB_TYPE|IS_SHADOW|SHADOW_TRANID                   |GLBCODE2                 |ALL_FIELDS|ORGTRANID                       |TXTSH|TXTMD|TXTLG                                                       |
|  00UJFTVOKCJ15LUD69R0Y5OPQTY03HVB|D      |INA    |7.0/03 |20,070,924,093,459 |SAP     |      |       |SAP     |20,070,924,093,459 |RSDS      |             |0UC_EDM_01                    R/3700    |CUBE      |             |0UCEDMVC1                 |                         |                         |                         |                         |                         |         0 |               |X        |                                |                         |          |                                |     |     |                                                            |
|  00UK8SI8C4XN90BES17RH4H31UILE3QH|D      |INA    |7.0/03 |20,071,129,222,601 |SAP     |      |       |SAP     |20,071,129,222,601 |RSDS      |             |0GCC_RULESET_TEXT             ZFLAT3_LEG|IOBJ      |TEXT         |0GCC_RULSET               |                         |                         |                         |                         |                         |         0 |               |         |0IM9DVIUD4U7FRLFEN3AVQ4ETMPQOFP2|                         |          |0IM9DVIUD4U7FRLFEN3AVQ4ETMPQOFP2|     |     |                                                            |
|  00UL8ZSLTS4UWGRMWA32UCB8I98YUAQC|D      |INA    |7.0/04 |20,090,420,200,111 |SAP     |      |X      |SAP     |20,090,420,200,111 |TRCS      |             |0BBP_TD_CONTR_1                         |ODSO      |             |0SRCT_DS1                 |                         |                         |                         |7KU37C7IG3T7APP9575MAW5XX|                         |         0 |               |         |                                |7KU37C7IG3T7APP9575PMAGPH|          |                                |     |     |TRCS 0BBP_TD_CONTR_1 -> ODSO 0SRCT_DS1                      |
|  00USW17IWLCUX8ANHNMBC9RCUYDKX9OT|D      |INA    |7.0/04 |20,090,422,092,053 |SAP     |      |       |SAP     |20,090,422,092,053 |RSDS      |             |0CCMS_DSR_DATA                P2SCLNT023|CUBE      |             |0CCMDAACT                 |                         |                         |4OQKVOGGR6C3DDEYHXPLHHZ59|4OQKVOO5A4XSVZYENRRXRJXV1|                         |         0 |               |         |0D53P3MFMQCFASV1P57T76QHV2YIS2QE|4OQKVOVTT3JIEMHUTLUA1LWKT|          |0D53P3MFMQCFASV1P57T76QHV2YIS2QE|     |     |                                                            |
|  00UVOA1OC0NLDL5SK7Q4GKQHZGLVDWRX|D      |INA    |7.0/03 |20,070,928,142,003 |SAP     |      |X      |SAP     |20,070,928,142,003 |ODSO      |             |0UCCMDS16                               |CUBE      |             |0UCCM_C01                 |477C7PEVP2HNV28QLEYMCL2WV|                         |                         |477C7PMK813DDOS6R90YMN1MN|                         |         0 |               |         |                                |477C7PU8QZP2WBBMX33AWP0CF|          |                                |     |     |                                                            |
|  00VIHPYDXXZDMIHM6PJXNBFF228PZZJM|D      |INA    |7.0/03 |20,071,121,224,947 |SAP     |      |       |SAP     |20,071,121,224,947 |RSDS      |             |0GCC_MITUSRORG                ZFLAT3_LEG|CUBE      |             |0GCC_MTOR                 |                         |                         |                         |                         |                         |         0 |               |         |0EMO71P376U4VSF1DQMOYI3EJ7BB12NU|                         |          |0EMO71P376U4VSF1DQMOYI3EJ7BB12NU|     |     |                                                            |
|  00VKD1CV75SHNXTJKDIUYM715Z3SQF13|D      |INA    |7.0/03 |20,071,223,151,133 |SAP     |      |X      |SAP     |20,071,223,151,133 |RSDS      |             |0GAE_RVW_CRD_AR                         |ODSO      |             |0GAE_RVCR                 |                         |                         |                         |                         |                         |         0 |               |X        |                                |                         |          |                                |     |     |                                                            |
|  00VPPQEKXOTC5PJRH4IDTVGPOLNDA8X6|D      |INA    |7.0/03 |20,071,223,145,514 |SAP     |      |X      |SAP     |20,071,223,145,514 |RSDS      |             |0GAE_UAR_ROLE                 SAP_DEMO  |ODSO      |             |0GAE_UARR                 |                         |                         |                         |4GWAH0XGHOVRS3X6T4Z6H9VL9|                         |         0 |               |         |0LNLAQEG00NH7W660ZF9Z1IOLUJ1R76N|4GWAH1550NHHAQGMYZ1IRBUB1|          |0LNLAQEG00NH7W660ZF9Z1IOLUJ1R76N|     |     |                                                            |
|  00VUKK2XKVXD6NGQP0LE564YLHTT2W5F|D      |INA    |7.0/03 |20,070,608,131,815 |SAP     |      |       |SAP     |20,070,608,131,815 |RSDS      |             |0CCMS_ASR_DATA                SAP002    |CUBE      |             |0CCMSAHR                  |                         |                         |461FLM12U2CUUWEXW0SKOGD7V|461FLKBMMDJ6PW3CLC9UG0NHN|                         |         0 |               |X        |                                |461FLKJB5C4W8IMSR6C6Q2M7F|          |                                |     |     |                                                            |
|  00W9TBL406UXT82CA38AD71X5Y8DQ51H|D      |INA    |7.0/03 |20,071,205,223,603 |SAP     |      |X      |SAP     |20,071,205,223,603 |RSDS      |             |0GCC_PRMVL_ROLE_VIOLS         ZFLAT2_SAP|CUBE      |             |0GCC_RPV                  |                         |                         |                         |4GWALNS8DCG2DQE9K7TWVXZJH|                         |         0 |               |         |00ZZR8YYEMC9QRUFOG54GG1KKJBOD8WY|4GWALNZWWB1RWCXPQ1W95ZY99|          |00ZZR8YYEMC9QRUFOG54GG1KKJBOD8WY|     |     |RSDS 0GCC_PRMVL_ROLE_VIOLS VFACLNT000 -> CUBE 0GCC_RPV      |
|  00WGIDQ8LJBY2H8OZQ093CBJGU16I4P7|D      |INA    |7.0/04 |20,080,618,151,217 |SAP     |      |X      |SAP     |20,080,618,151,217 |TRCS      |             |2LIS_03_BX_TR                           |CUBE      |             |0RMP_C04                  |45AGSQN9WFBORMMIVCQ0BKEF2|                         |                         |45AGSH1M766SHGBBKRSNR4072|                         |         0 |               |         |                                |45AGSH9AQ4SI02URQLV015YWU|          |                                |     |     |                                                            |
|  00WTZGNBZU4J15NFLIJ2CWUM4RDAWXMR|D      |INA    |7.0/03 |20,071,127,213,242 |SAP     |      |       |SAP     |20,071,127,213,242 |RSDS      |             |0GCC_PRMVL_PROF_VIOLS         ZFLAT3_LEG|ODSO      |             |0GCC_PPD                  |                         |                         |                         |4GWAPHMCM9ZYM7EA9PU9B6Y3X|                         |         0 |               |         |0QQ82SA9NIFV1P8GXE2D3JLTNC66HVZF|4GWAPHU158LO4TXQFJWLL8WTP|          |0QQ82SA9NIFV1P8GXE2D3JLTNC66HVZF|     |     |                                                            |
|  00WY957KPFX5OAPR3C8I5P5DFKYF46SE|D      |INA    |7.0/04 |20,080,609,130,604 |SAP     |      |       |SAP     |20,080,609,130,604 |RSDS      |             |0FMD_FSITM_TEXT               P2WCLNT023|IOBJ      |TEXT         |0FMD_FSITM                |                         |                         |                         |                         |                         |         0 |               |         |0K7AL2SANZQ5BBYZAPC3B2Q73EU0VQSW|                         |          |0K7AL2SANZQ5BBYZAPC3B2Q73EU0VQSW|     |     |                                                            |
|  00X1QXJZ8R241M4GVK01F9RQ0HFZRFYT|D      |INA    |7.0/03 |20,070,418,120,356 |SAP     |      |X      |SAP     |20,070,418,120,356 |RSDS      |             |0CCMS_WEBAS_STATREC_DATA      R/3700    |CUBE      |             |0CCMWRHCD                 |                         |                         |40462MNXSBEV0Y22QQCT54MWV|40462M8KQE7FZOZ6F284L0PHB|                         |         0 |               |X        |                                |45HZZTCSIMGSQBMLGRX6Y727Y|          |                                |     |     |                                                            |
|  00X369MJYWOP7TUJXFJ8A71INHVU3T15|D      |INA    |7.0/03 |20,060,822,103,456 |SAP     |      |       |SAP     |20,060,822,103,456 |RSDS      |             |0RT_SPTRKEY_TEXT              R/3710    |IOBJ      |TEXT         |0RT_SPTRKEY               |                         |                         |                         |                         |                         |         0 |               |X        |                                |                         |          |                                |     |     |                                                            |
|  00X6Q6LKLGWG4YAPXS438CURUNAR9JI5|D      |INA    |7.0/03 |20,070,608,095,109 |SAP     |      |X      |SAP     |20,070,608,095,109 |TRCS      |             |0TB_AM_AM_15                            |ODSO      |             |0TB_DS44                  |                         |                         |                         |                         |                         |         0 |               |         |                                |                         |          |                                |     |     |                                                            |
|  00XT5NYW3HGH9LVSTO54KPOFXL8V7TCQ|D      |INA    |7.0/03 |20,071,126,200,944 |SAP     |      |       |SAP     |20,071,126,200,944 |RSDS      |             |0GCC_RISKOWN                  ZFLAT3_SAP|ODSO      |             |0GCC_RO                   |                         |                         |                         |                         |                         |         0 |               |         |01OZ4GF22OD93IAA38EB19VFV7I4A7TU|                         |          |01OZ4GF22OD93IAA38EB19VFV7I4A7TU|     |     |                                                            |
|  00XYJBEEEYFJ6Q1RMK3VP949BP1G87HQ|D      |INA    |7.0/03 |20,071,128,001,437 |SAP     |      |       |SAP     |20,071,128,001,437 |RSDS      |             |0GCC_CDHDR                    ZFLATF_LEG|ODSO      |             |0GCC_FRCL                 |                         |                         |                         |                         |                         |         0 |               |         |06GE1MXM5E85YUHXX53RLNL7RB69HOMU|                         |          |06GE1MXM5E85YUHXX53RLNL7RB69HOMU|     |     |                                                            |
|  00YHN4E541RIJK0ODOYRE7PXI0YW8VNG|D      |INA    |7.0/03 |20,080,105,043,023 |SAP     |      |X      |SAP     |20,080,105,043,023 |RSDS      |             |0GCC_BUSUNITT_TEXT            GAC000    |IOBJ      |TEXT         |0GCC_BUSUNT               |                         |                         |                         |                         |                         |         0 |               |X        |                                |                         |          |                                |     |     |                                                            |
|  00YIEX27X3YYVX230V9ZQHK3U7HGLE6F|D      |INA    |7.0/03 |20,071,121,205,413 |SAP     |      |       |SAP     |20,071,121,205,413 |RSDS      |             |0GCC_OBJTEXT_PERM_FLD_TEXT    SAP_DEMO  |IOBJ      |TEXT         |0GCC_PRMFLD               |                         |                         |                         |                         |                         |         0 |               |         |0N4UEUE28VDCEAPS1AD985XDH482MAYW|                         |          |0N4UEUE28VDCEAPS1AD985XDH482MAYW|     |     |                                                            |
|  00Z18XFQ145QPXSSZTVVLE5V2GVWHPT8|D      |INA    |7.0/03 |20,070,119,163,347 |SAP     |      |       |SAP     |20,070,119,163,347 |RSDS      |             |0CCMS_ASR_DATA                P2SCLNT023|CUBE      |             |0CCMSAHD                  |                         |                         |4OQKVIP2J81YEGTU4DYDY0XT9|4OQKVIWR26NNX3DAA80Q82WJ1|                         |         0 |               |         |0PBVYXBV654ZL85IR2HZJJTPC6EB30WN|4OQKVJ4FL59DFPWQG232I4V8T|          |0PBVYXBV654ZL85IR2HZJJTPC6EB30WN|     |     |                                                            |
|  00Z3OII5O0A05T5TF2QLHVNVYVWIMVVW|D      |INA    |7.0/04 |20,090,422,075,154 |SAP     |      |       |SAP     |20,090,422,075,154 |RSDS      |             |0CCMS_WEBAS_APPL_STATREC_DATA R/3700    |CUBE      |             |0CCMWAAMM                 |                         |                         |4BBNYKDUHQWJ2X08ESNO3K82E|4BBNYKLJ0PI8LJJOKMQ0DM6S6|                         |         0 |               |X        |                                |4B0GD36O0X4F87RHGEN509RRS|          |                                |     |     |                                                            |
|  00Z4OGJLXDP89Q22PMUETZL8ECP41X00|D      |INA    |7.0/03 |20,071,011,151,900 |SAP     |      |X      |SAP     |20,071,011,151,900 |ODSO      |             |0SCP_DS01                               |CUBE      |             |0SCP_C01                  |                         |                         |                         |460YHNFVY8YZO1XQFSJQWTMV2|                         |         0 |               |         |                                |460YHNNKH7KP6OH6LMM36VLKU|          |                                |     |     |                                                            |
|  00ZKGAHONN4KR6U7SNKLVSULJ8TLW5RQ|D      |INA    |7.0/00 |20,070,117,130,032 |SAP     |      |X      |SAP     |20,070,117,130,032 |RSDS      |             |0TCTAUTH_T                    P20CLNT023|IOBJ      |TEXT         |0TCTAUTH                  |                         |                         |                         |                         |                         |         0 |               |         |0O22LEN2XXA5HOE40GGPDTQHSJCHEL60|                         |          |0O22LEN2XXA5HOE40GGPDTQHSJCHEL60|     |     |                                                            |
|  00ZOASJX2QQZL3BELBDPFU8O66I1T243|D      |INA    |7.0/03 |20,071,223,065,303 |SAP     |      |X      |SAP     |20,071,223,065,303 |RSDS      |             |0GAE_USERS                    ZFLATF_SAP|ODSO      |             |0GAE_USER                 |                         |                         |                         |4GWB8CRX3RF4H50A6YTYAVFAL|                         |         0 |               |         |02HDDZO5DC14C3Y8QPANGY2JAXKT2VHU|4GWB8CZLMQ0TZRJQCSWAKXE0D|          |02HDDZO5DC14C3Y8QPANGY2JAXKT2VHU|     |     |                                                            |
|  00ZSWMZBGUQDZYCKQ4VY4NYZO9GTKB38|D      |INA    |7.0/04 |20,090,422,080,543 |SAP     |      |       |SAP     |20,090,422,080,543 |RSDS      |             |0CCMS_WEBAS_STATREC_DATA      P2WCLNT023|ODSO      |             |0CCMWDRS                  |                         |                         |4H91T4XU301RFBTQ130F8ACDP|4H91T55ILYNGXYD66X2RICB3H|                         |         0 |               |         |0ANBOWVFPV5LSQ5QZJA5GRGGP09UPVXO|4H91T5D74X96GKWMCR53SE9T9|          |0ANBOWVFPV5LSQ5QZJA5GRGGP09UPVXO|     |     |                                                            |
|  00ZUIPCOGTFZRO506NT81PUXABOW3MOI|D      |INA    |7.0/03 |20,071,219,190,508 |SAP     |      |       |SAP     |20,071,219,190,508 |RSDS      |             |0GCC_SYSTEMT_ACTUAL_TEXT      ZFLATF_LEG|ODSO      |             |0GCC_XSLD                 |                         |                         |                         |4GWB5BJ3FMO7KKEF7DJBAXOOD|                         |         0 |               |         |0T8D0L4W774QZI71D1JXHKFDM1L3NZUW|4GWB5BQRYL9X36XVD7LNKZNE5|          |0T8D0L4W774QZI71D1JXHKFDM1L3NZUW|     |     |                                                            |
|  00ZUS9I3Y724UE6BJCNVM0925071MTOT|D      |INA    |7.0/03 |20,071,204,012,034 |SAP     |      |       |SAP     |20,071,204,012,034 |RSDS      |             |0GCC_BUSUNITT_TEXT            SAP_DEMO  |IOBJ      |TEXT         |0GCC_BUSUNT               |                         |                         |                         |                         |                         |         0 |               |         |0MPMJWND1DLK5NM1QETO6N07YCKW1R38|                         |          |0MPMJWND1DLK5NM1QETO6N07YCKW1R38|     |     |                                                            |
|  00ZXWPG0FBGX9X3NOUR17K0HFZNBFDHA|D      |INA    |7.0/03 |20,080,319,122,907 |SAP     |      |       |SAP     |20,080,319,122,907 |RSDS      |             |0UC_CM_NCL_INV01              R/3700    |TRCS      |             |0UC_CM_NCL_INV01_70       |                         |                         |                         |478Y18V6YKBIL48FN4LX5DN1N|                         |         0 |               |X        |                                |478Y192VHIX83QRVSYO9FFLRF|          |                                |     |     |                                                            |
|  00ZZ5FLBQW3N4GB1DC8SJAXNKNA6QV63|D      |INA    |7.0/03 |20,070,226,151,901 |SAP     |      |X      |SAP     |20,070,226,151,901 |RSDS      |             |0BD_LOG_DATA                  R/3710    |TRCS      |             |0FSCM_BD_1                |                         |                         |                         |                         |                         |         0 |               |X        |                                |                         |          |                                |     |     |                                                            |
|  00ZZR8YYEMC9QRUFOG54GG1KKJBOD8WY|D      |INA    |7.0/03 |20,071,205,223,603 |SAP     |      |X      |SAP     |20,071,205,223,603 |RSDS      |             |0GCC_PRMVL_ROLE_VIOLS                   |CUBE      |             |0GCC_RPV                  |                         |                         |                         |47YC782WKEKNLMASU6HWDI0OU|                         |         0 |               |X        |                                |47YC78AL3D6D48U900K8NJZEM|          |                                |     |     |RSDS 0GCC_PRMVL_ROLE_VIOLS VFACLNT000 -> CUBE 0GCC_RPV      |
|  010BQBIPTNYO3REXLOKGO04HH6ZCGS5J|D      |INA    |7.0/04 |20,090,422,081,512 |SAP     |      |       |SAP     |20,090,422,081,512 |RSDS      |             |0CCMS_WEBAS_STATREC_DATA      P2CCLNT023|ODSO      |             |0CCMWDSPO                 |                         |                         |4SZ8D2H6RB32B24BSBCX17PDD|4SZ8D2OVA9ORTONRY5F9B9O35|                         |         0 |               |         |0N7D9GB494RJEIVGNG17SBYXX7KLV0OD|4SZ8D2WJT8AHCB783ZHLLBMSX|          |0N7D9GB494RJEIVGNG17SBYXX7KLV0OD|     |     |                                                            |
|  010H7S5Y6F3W639TIPHP0C5UH5GVR8GU|D      |INA    |7.0/03 |20,071,223,190,319 |SAP     |      |X      |SAP     |20,071,223,190,319 |RSDS      |             |0GAE_UAR_ROLE                 ZFLAT2_SAP|ODSO      |             |0GAE_UARO                 |4GWAKXYSN1HARZ0XY5YN3CAWD|                         |                         |4GWAKY6H6030ALKE400ZDE9M5|                         |         0 |               |         |0RPMWOCK54CCGC4LPMCASJ4MC5FCL7C2|4GWAKYE5OYOPT83U9U3BNG8BX|          |0RPMWOCK54CCGC4LPMCASJ4MC5FCL7C2|     |     |                                                            |
|  010NENUBAZMVLNWF6LG8QDA0ZJ8P604B|D      |INA    |7.0/03 |20,070,914,113,610 |SAP     |      |X      |SAP     |20,070,914,113,610 |TRCS      |             |0UC_INSTFACTS_70                        |ODSO      |             |0UCS_DS06                 |                         |                         |                         |                         |                         |         0 |               |         |                                |                         |          |                                |     |     |                                                            |
|  010QJFYTM39XAKEVSK0WLW16NN6WRADC|D      |INA    |7.0/04 |20,100,301,155,124 |SAP     |      |X      |SAP     |20,100,301,155,124 |ODSO      |             |0SR_FIDS1                               |CUBE      |             |0SR_FIC01                 |7KU37C7IG3T7AR7V1HAPJKOOA|                         |                         |7KU37C7IG3T5KGTML0CAK1763|                         |         0 |               |         |                                |7KU37C7IG3T5KGTML0CDTRSDK|          |                                |     |     |ODSO 0SR_FIDS1 -> CUBE 0SR_FIC01                            |
|  01198FDJQMOJERM5Y6C9VOIZUKSF9P69|D      |INA    |7.0/03 |20,061,219,230,235 |SAP     |      |X      |SAP     |20,061,219,230,235 |RSDS      |             |0HREIC_HAP_VA_TEXT            R/3700    |IOBJ      |TEXT         |0HAP_VA                   |                         |                         |                         |                         |                         |         0 |               |X        |                                |                         |          |                                |     |     |                                                            |
|  0119E6ELZ0MWVQPIFXSV1NDCGEE4XPGR|D      |INA    |7.0/03 |20,070,604,114,607 |SAP     |      |X      |SAP     |20,070,604,114,607 |ODSO      |             |0TMS_DS04                               |CUBE      |             |0TMS_C04                  |                         |                         |                         |                         |                         |         0 |               |         |                                |                         |          |                                |     |     |                                                            |
|  011BAEDA3MWJT6IXQMVNTTDFCV3QEMQM|D      |INA    |7.0/04 |20,100,104,092,556 |SAP     |      |X      |SAP     |20,100,104,092,556 |TRCS      |             |0RT_SALES_DOCUMENTS                     |ODSO      |             |0RT_DS65                  |49JI75Y3GLTXHHUW708EY8RTI|                         |                         |49JI765RZKFN04ECCUAR8AQJA|                         |         0 |               |         |                                |49JI76DGIJ1CIQXSIOD3ICP92|          |                                |     |     |                                                            |
|  011DY5MUIVHQRHRVX432XEDKGLCNHT55|D      |INA    |7.0/03 |20,070,412,132,003 |SAP     |      |       |SAP     |20,070,412,132,003 |RSDS      |             |0BBP_STATUS_TEXT              P2CCLNT023|IOBJ      |TEXT         |0BBP_STATUS               |                         |                         |                         |                         |                         |         0 |               |         |0AIUUOOC7R5PCAPWL7LBFQB1IE0B72P6|                         |          |0AIUUOOC7R5PCAPWL7LBFQB1IE0B72P6|     |     |                                                            |
|  011PQR781J9SO2ONXT2MEGE8WH3ZS2IC|A      |ACT    |       |                 0 |50487615|      |X      |DDIC    |20,130,225,195,006 |IOBJ      |ATTR         |ZCRM_SONR                               |IOBJ      |ATTR         |ZCRM_SONR                 |                         |                         |                         |                         |4SZADZLG19HVBS404YARY2QLP|         0 |               |         |                                |                         |          |011PQR781J9SO2ONXT2MEGE8WH3ZS2IC|     |     |                                                            |
|  011PQR781J9SO2ONXT2MEGE8WH3ZS2IC|M      |ACT    |       |                 0 |50487615|      |X      |50487615|20,130,221,013,804 |IOBJ      |ATTR         |ZCRM_SONR                               |IOBJ      |ATTR         |ZCRM_SONR                 |                         |                         |                         |                         |4SZADZLG19HVBS404YARY2QLP|         0 |               |         |                                |                         |          |011PQR781J9SO2ONXT2MEGE8WH3ZS2IC|     |     |                                                            |
|  011TK011VNJ0G6Z1K2Z7N8X5U5JGVNTP|D      |INA    |7.0/04 |20,090,422,082,641 |SAP     |      |X      |SAP     |20,090,422,082,641 |TRCS      |             |0FSCM_CLM_4                             |ODSO      |             |0CLM_DS04                 |B2V9ZP3L7MO0W0PTGSWWSEBE9|                         |                         |7XW6K8F4WN0HNDLP3GOMLBXV5|                         |         0 |               |         |                                |45VI6YOV3N52O2PCVEJ7IT8MJ|          |                                |     |     |                                                            |
|  011ZEZX0LUGVCYYA1XWQQ15R1Y3Q44KA|D      |INA    |7.0/03 |20,071,223,133,750 |SAP     |      |       |SAP     |20,071,223,133,750 |RSDS      |             |0GAE_SOD_RISK_AR                        |ODSO      |             |0GAE_SODR                 |                         |                         |                         |482YG6A515H867CSUHEU8Q96M|                         |         0 |               |X        |                                |482YG6HTK42XOTW90BH6IS7WE|          |                                |     |     |                                                            |
|  01207M8X04S9H51SFEVNGHG1H2S57IKB|D      |INA    |7.0/03 |20,070,102,183,959 |SAP     |      |X      |SAP     |20,070,102,183,959 |ODSO      |             |0CIC_DS31                               |ODSO      |             |0CIC_DS41                 |                         |                         |                         |                         |                         |         0 |               |         |                                |                         |          |                                |     |     |                                                            |
|  0125BBNJ8R7SD3J6QE3MXXOY11X5CVO8|D      |INA    |7.0/03 |20,071,219,193,521 |SAP     |      |X      |SAP     |20,071,219,193,521 |RSDS      |             |0GCC_DETDESC_MITREF           ZFLATF_LEG|ODSO      |             |0GCC_MCLD                 |                         |                         |                         |4GWB4OHIJTJNOY1XP6IH51JCD|                         |         0 |               |         |0CF6525GDF58YSYYH33F2ZV0R0K88GJV|4GWB4OP72S5D7KLDV0KTF3I25|          |0CF6525GDF58YSYYH33F2ZV0R0K88GJV|     |     |                                                            |
|  0125HJAS0WV7U4WZKHCXRTPLA00TK8ZK|D      |INA    |7.0/03 |20,071,121,205,413 |SAP     |      |       |SAP     |20,071,121,205,413 |RSDS      |             |0GCC_OBJTEXT_PERM_FLD_TEXT    ZFLATF_LEG|IOBJ      |TEXT         |0GCC_PRMFLD               |                         |                         |                         |                         |                         |         0 |               |         |0N4UEUE28VDCEAPS1AD985XDH482MAYW|                         |          |0N4UEUE28VDCEAPS1AD985XDH482MAYW|     |     |                                                            |
|  012AC83470NADRXS0L12MNG0Z11TE2ZW|D      |INA    |7.0/03 |20,080,123,154,719 |SAP     |      |X      |SAP     |20,080,123,154,719 |TRCS      |             |0RT_CHARACTERISTIC_TEXT                 |IOBJ      |TEXT         |0RT_CHARRNG               |                         |                         |                         |                         |                         |         0 |               |         |                                |                         |          |                                |     |     |                                                            |
|  012AFHLWO661VW8U73YC5NMDG9MPRPU6|D      |INA    |7.0/03 |20,071,210,101,352 |SAP     |      |       |SAP     |20,071,210,101,352 |RSDS      |             |0GAE_ORGRL                    ZFLATF_SAP|ODSO      |             |0GAE_ORGR                 |                         |                         |                         |                         |                         |         0 |               |         |09E5LJZM586Y7VEY1GDOVJR4AFO4FE8P|                         |          |09E5LJZM586Y7VEY1GDOVJR4AFO4FE8P|     |     |                                                            |
|  012D92KH29FPVG0TM2AHITMTF7RTQ399|D      |INA    |7.0/03 |20,071,210,055,333 |SAP     |      |       |SAP     |20,071,210,055,333 |RSDS      |             |0GAE_APL_AR                   ZFLATF_2ND|ODSO      |             |0GAE_APL                  |                         |                         |                         |                         |                         |         0 |               |         |0068FB52IC8ZGYD041DXNR1XZLULO1ME|                         |          |0068FB52IC8ZGYD041DXNR1XZLULO1ME|     |     |                                                            |
|  012F7WEHRXE66ININZ04RU1I0SAJN2FL|D      |INA    |7.0/03 |20,071,219,173,419 |SAP     |      |       |SAP     |20,071,219,173,419 |RSDS      |             |0GCC_ALLISTHDR                          |CUBE      |             |0GCC_ALH                  |                         |                         |                         |                         |                         |         0 |               |X        |                                |                         |          |                                |     |     |                                                            |
|  012R5U8Y3YV7ANJBK0O5W91SBKK2HNLM|D      |INA    |7.0/03 |20,060,928,113,340 |SAP     |      |       |SAP     |20,060,928,113,340 |RSDS      |             |0CRM_CIC_BDC_ONEORDER         P2CCLNT023|TRCS      |             |0CRM_CIC_OORDER           |                         |                         |                         |                         |                         |         0 |               |         |0441IV32LLZJELOLTXJLI5MCTVM1HU2K|                         |          |0441IV32LLZJELOLTXJLI5MCTVM1HU2K|     |     |                                                            |
|  012VUALEBCJT6A0DT5KCU129O6VLJOP3|D      |INA    |7.0/04 |20,090,416,095,144 |SAP     |      |X      |SAP     |20,090,416,095,144 |ODSO      |             |0OA2_DS02                               |ODSO      |             |0OA2_DS03                 |                         |                         |                         |                         |                         |         0 |               |         |                                |                         |          |                                |     |     |                                                            |
|  0135PW4RUVU74U89UYFWCISLNFG6LLQW|D      |INA    |7.0/03 |20,070,920,152,521 |SAP     |      |       |SAP     |20,070,920,152,521 |RSDS      |             |0UC_PODINST_ATTR              R/3700    |ODSO      |             |0UCIODS03                 |                         |                         |                         |                         |                         |         0 |               |X        |                                |                         |          |                                |     |     |                                                            |
|  013DHIHW1ONVH58YOG4A6X55PRMTRSZA|A      |ACT    |       |                 0 |50487615|      |X      |DDIC    |20,140,817,003,459 |ODSO      |             |ZO00191                                 |ODSO      |             |ZO00154                   |                         |4YW6MO9PPRAKC6FL8AJR3QIWH|                         |4YW6MOHE8PW9USZ1E4M3DSHM9|4NK06UI6QLSQ3RK0TPSX0OQPB|         0 |               |         |                                |4YW6MOP2ROHZDFIHJYOFNUGC1|          |013DHIHW1ONVH58YOG4A6X55PRMTRSZA|     |     |                                                            |
|  013DHIHW1ONVH58YOG4A6X55PRMTRSZA|M      |ACT    |       |                 0 |50487615|      |X      |10130903|20,140,813,040,723 |ODSO      |             |ZO00191                                 |ODSO      |             |ZO00154                   |                         |4YW6MO9PPRAKC6FL8AJR3QIWH|                         |4YW6MOHE8PW9USZ1E4M3DSHM9|4NK06UI6QLSQ3RK0TPSX0OQPB|         0 |               |         |                                |4YW6MOP2ROHZDFIHJYOFNUGC1|          |013DHIHW1ONVH58YOG4A6X55PRMTRSZA|     |     |                                                            |
|  013T21VVEJSDAQOEX1ONQM5IDZC98JEQ|D      |INA    |7.0/03 |20,071,224,014,031 |SAP     |      |       |SAP     |20,071,224,014,031 |RSDS      |             |0GAE_HDR_AR                   ZFLATF_2ND|ODSO      |             |0GAE_HDR                  |                         |                         |                         |4GWAZ69L8VC61A5V4C3LOCO4T|                         |         0 |               |         |0SQB6AOE9TGG052Y8A3NDE2FEV3CXM5W|4GWAZ6H9RTXVJWPBA65XYEMUL|          |0SQB6AOE9TGG052Y8A3NDE2FEV3CXM5W|     |     |                                                            |
|  01544GU8AW04AJ7UVVTK6EQN0GS7JMPG|D      |INA    |7.0/03 |20,070,918,124,020 |SAP     |      |       |SAP     |20,070,918,124,020 |RSDS      |             |0UC_SETTLIN                   R/3700    |TRCS      |             |0UC_SETTLIN_70            |                         |                         |                         |                         |                         |         0 |               |X        |                                |                         |          |                                |     |     |                                                            |
