19.04.2015                                                                                                                                      Dynamic List Display                                                                                                                                             1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  LOGDPID                       |OBJVERS|VARIANT |SOURCE                      |TYP|LOGSYS    |LOGDPID_N|FIRSTFLAG|UNAME    |          TIMESTAMP|OBJSTAT|CONTREL|       CONTTIMESTMP|OWNER|BWAPPL|OLTPSOURCE                    |OLTPTYP|GENERATED|CRT_PACKAGE|PUSH_PACKAGE|MASTERIPAK|ISMASTERIPAK|LPI|LPI_CHAIN|
|  0PAK_3FHMBOVJ453ZM4EZWH9HCE8Q2|D      |CUSTOMER|0D_VTYPE                    |O  |ZFLAT2_SAP|         |         |DDIC     |20,100,219,044,323 |       |2.1/01 |20,000,926,202,049 |SAP  |      |0D_VTYPE_TEXT                 |T      |         |           |            |          |            |   |         |
|  0PAK_3FHMBP37N3PP4QYG2BBTMG7FU|D      |CUSTOMER|0D_FI_C02_TD                |I  |ZFLAT2_SAP|         |         |DDIC     |20,100,219,044,323 |       |3.2/01 |20,030,113,174,226 |     |      |0D_FI_C02_TD                  |D      |         |           |            |          |            |   |         |
|  0PAK_3FHMBPAW62BENDHW85E5WI65M|D      |CUSTOMER|0D_SOLD_TO                  |O  |ZFLAT2_SAP|         |         |DDIC     |20,100,219,044,323 |       |3.0/01 |20,010,406,132,030 |SAP  |      |0D_SOLD_TO_TEXT               |T      |         |           |            |          |            |   |         |
|  0PAK_3FHMBPIKP0X4601CDZGI6K4VE|D      |CUSTOMER|0D_REGION                   |O  |ZFLAT2_SAP|         |         |DDIC     |20,100,219,044,323 |       |2.1/01 |20,000,926,173,710 |SAP  |      |0D_REGION_TEXT                |T      |         |           |            |          |            |   |         |
|  0PAK_3FHMBPQ97ZITOMKSJTIUGM3L6|D      |CUSTOMER|0D_CO_CODE                  |O  |ZFLAT2_SAP|         |         |DDIC     |20,100,219,044,323 |       |2.1/01 |20,000,926,201,912 |SAP  |      |0D_CO_CODE_TEXT               |T      |         |           |            |          |            |   |         |
|  0PAK_3FHMBPXXQY4J7948PNL6QO2AY|D      |CUSTOMER|0D_SALE_GRP                 |O  |ZFLAT2_SAP|         |         |DDIC     |20,100,219,044,323 |       |2.1/01 |20,000,926,174,149 |SAP  |      |0D_SALE_GRP_TEXT              |T      |         |           |            |          |            |   |         |
|  0PAK_3FHMBQ5M9WQ8PVNOVHNJ0Q10Q|D      |CUSTOMER|0D_MATERIAL                 |O  |ZFLAT2_SAP|         |         |DDIC     |20,100,219,044,323 |       |3.0/01 |20,010,316,091,145 |SAP  |      |0D_MATERIAL_TEXT              |T      |         |           |            |          |            |   |         |
|  0PAK_3FHMBQDASVBY8I751BPVARZQI|D      |CUSTOMER|0D_MTLGROUP                 |O  |ZFLAT2_SAP|         |         |DDIC     |20,100,219,044,323 |       |2.1/01 |20,000,926,201,105 |SAP  |      |0D_MTLGROUP_TEXT              |T      |         |           |            |          |            |   |         |
|  0PAK_3FHMBQKZBTXNR4QL75S7KTYGA|D      |CUSTOMER|0D_REGIO                    |O  |ZFLAT2_SAP|         |         |DDIC     |20,100,219,044,323 |       |2.1/01 |20,000,926,203,013 |SAP  |      |0D_REGIO_TEXT                 |T      |         |           |            |          |            |   |         |
|  0PAK_3FHMBQSNUSJD9RA1CZUJUVX62|D      |CUSTOMER|0D_MATERIAL                 |O  |ZFLAT2_SAP|         |         |DDIC     |20,100,219,044,323 |       |2.1/01 |20,000,926,195,447 |SAP  |      |0D_MATERIAL_ATTR              |M      |         |           |            |          |            |   |         |
